name,type,latitude,longitude
Hanuman temple,place_of_worship,21.6259471,72.9437811
Gandhi Smruti Hall,theatre,21.1857981,72.8140219
Suvali Beach,attraction,21.1644912,72.6199695
Saibaba Mandir,place_of_worship,20.9437229,72.9222409
Ashapuri Mata Mandir,place_of_worship,20.947724,72.9240267
Ramji Mandir,place_of_worship,20.9492813,72.927369
Tata Hall,theatre,20.9498574,72.9263444
Rajhans Cinema,cinema,21.1607262,72.7742861
Inox Cinema,cinema,21.1455594,72.757276
PVR Cinema,cinema,21.1550552,72.7667711
Cinemax,cinema,21.1542548,72.7647648
Children's Traffic Park,park,21.1783608,72.8144049
omkar,place_of_worship,21.2002764,72.7979723
sheetal park,park,21.2409,72.8152879
Dabholi Lake,park,21.2354261,72.807409
Mosque,attraction,21.0837986,72.7183228
Raaj Hotel,attraction,21.0812809,72.7157264
Shree Ram Temple,place_of_worship,21.2123825,72.7832555
Shanidev Temple,place_of_worship,21.2121375,72.7827458
Merulaxmi Temple,place_of_worship,21.2114076,72.7969847
Ganesh Temple,place_of_worship,21.2115377,72.7928165
VICHARE KRANTI CIRCLE,monument,21.2113476,72.7902094
Somnath Mahadev,place_of_worship,21.2104824,72.7843622
Hanuman Temple,place_of_worship,21.2081685,72.7863311
PALANPUR JAKAT NAKA,monument,21.2097422,72.7823811
Shree Swaminarayan Mandir,place_of_worship,21.2106513,72.7906811
Magic heart dj,viewpoint,21.2196919,72.8750798
"Swami Vivekanand Circle, Makkaipul, Nanpura, Surat.",monument,21.1921153,72.8168763
Pratishtha Apt,place_of_worship,21.1589527,72.7777947
SHREENIKETAN,attraction,21.2127026,72.8556562
Vasanjipark,attraction,21.2267483,72.8299567
ghandi baug,park,21.1943947,72.817646
chowpati,park,21.1850907,72.8064001
khubsaab masjid,place_of_worship,21.2029903,72.8282058
ARISTRON INSTRUMENTION,viewpoint,21.2098332,72.8445614
Surat City's First Firetruck from the 19th century,attraction,21.1853907,72.8067117
Shiv Mandir,place_of_worship,21.1755841,72.8232281
Jyotindra Dave Garden,park,21.2021655,72.7913354
Sarthana Nature Park & Zoo,park,21.2320424,72.8981461
Mangalam Heights,monument,21.1231922,72.7778718
Dutch & Armenian Tombs & Cemeteries,monument,21.2093949,72.8271506
Ganesh Temple,place_of_worship,21.1645985,72.7753696
Ganesh Temple,place_of_worship,21.1650904,72.7759941
Krishna Mandir,place_of_worship,21.176977,72.8073848
Somnath Mahadev Temple,place_of_worship,21.2106971,72.7760832
Temple,place_of_worship,21.1740991,72.7922102
Sai Baba Temple.,place_of_worship,20.8000752,72.9584763
Andheshwar Temple,place_of_worship,20.8244564,72.9512696
Hansapore - Chachar Maata Mandir,place_of_worship,20.9054815,72.9236316
Perrian.com,place_of_worship,21.2041296,72.830902
Jalaram temple,place_of_worship,21.1780223,72.6587348
Tapovan Ashram,place_of_worship,21.1754244,72.6589607
PALSANA CHAR CHOKDI,monument,21.0863319,72.9780287
VISHAL NAGAR SOCJETY NO 2 MARRIGE HALL,memorial,21.2200708,72.8595774
વિશાલ હનુમાન મંદિર,place_of_worship,21.2198723,72.8577133
SMC Multi-Activity Zone,park,21.1905497,72.8003768
Cremio1,place_of_worship,21.2096367,72.8501527
આનંદ નગય સોસાયટી હૉલ.,attraction,21.2189173,72.8624299
Shree Sai Ganesh Yuvak Mandal-1976,place_of_worship,21.2056058,72.8286705
Dandi,attraction,21.3280139,72.6257041
Swaminarayan Mandir,place_of_worship,20.81271,72.9562248
Radha Krishna Mandir,place_of_worship,21.2108823,72.8286865
Kantareshwar Mahadev Mandir,place_of_worship,21.2272846,72.8310183
Kitchen Garden,park,21.1776258,72.8210424
Khelo INDIA GROUND,park,21.1653681,72.77604
HARIKRISHNA PALACE,castle,21.2135204,72.8572269
Krishnalok Dham,place_of_worship,21.1350401,73.0487673
Ramji Mandir,place_of_worship,20.8104111,72.9960916
Gayatri Mandir,place_of_worship,20.8156769,72.9966176
Satimata Temple,place_of_worship,20.8187183,72.9965329
Jalaram Temple,place_of_worship,20.8100328,73.006514
Shree Rameshwar Mahadev Temple,place_of_worship,20.8090126,73.0040213
Hanuman Mandir,place_of_worship,20.8110194,72.9980822
Pathanwad Masjid,place_of_worship,20.8108733,72.9994219
Jamadarwad Masjid,place_of_worship,20.8099047,72.9994606
Khatawad Masjid,place_of_worship,20.8120472,73.0010225
Ghanchiwad Masjid,place_of_worship,20.8125466,72.9992102
Trimbaknath mahadev Temple,place_of_worship,20.8118265,72.9972701
Hanumanji Temple,place_of_worship,20.8145437,72.9990852
BAPS Swaminarayan Temple,place_of_worship,20.8180463,72.9939212
Hanumanji Mandir,place_of_worship,20.812006,72.9962547
Hanumanji Temple,place_of_worship,20.812002,72.9962542
Khatkiwad Masjid,place_of_worship,20.813641,72.9948883
BAPS Swaminarayan Temple,place_of_worship,20.8180616,72.9939281
Jaldevi Mata Temple,place_of_worship,20.8110362,73.0006581
AmbaMata Temple,place_of_worship,20.8137704,72.9968293
Tulja Bhavani Mata Temple,place_of_worship,20.8103369,72.9949428
Shree Sankat Mochan Hanumanji Mandir,place_of_worship,20.8130155,72.9980743
Sahi Jumma Masjid,place_of_worship,20.8133453,72.9979033
Chosath Jogani Temple,place_of_worship,20.8007203,72.9829715
Kosadi Masjid (Juni Kosadi),place_of_worship,21.4724987,73.0998705
Kosadi Madressa,place_of_worship,21.4630282,73.1003244
SMC Garden,attraction,21.1910773,72.8777347
SMC Garden,attraction,21.1910815,72.8776594
Bhaktidham Mataji Mandir,place_of_worship,21.1889065,72.8735972
Kabutar Circle,attraction,21.1890476,72.8607419
La Citadel,attraction,21.1910688,72.8687796
Shanidev Mandir,place_of_worship,21.1912355,72.8701856
Dhamma Ambika,place_of_worship,20.8804413,73.0385051
Shri Swaminarayan temple,place_of_worship,21.2295786,72.822589
Shree Shyam Baba Mandir,place_of_worship,21.1439923,72.7988554
Amba Mata ji Mandir,place_of_worship,21.1538114,72.7996841
OYO,place_of_worship,21.1306067,73.1027662
Vidya Bharti Trust Instituiton,place_of_worship,21.1309023,73.1029623
Tinyten,place_of_worship,21.2644087,72.8318784
White Temple,place_of_worship,21.0796039,72.7066666
Jahagir Talkies,cinema,20.9503511,72.9175392
"Samarpan Ashram, Dandi",place_of_worship,20.8608824,72.8118811
City Plus Multiplex,cinema,21.1361792,72.7522923
Nehru Udyan,park,21.185141,72.8064716
Mirza sami Mazjid,place_of_worship,21.2044473,72.8237198
Kwaja Safar Sulemani Dargah,place_of_worship,21.2042391,72.8235998
Lake View Park,park,21.1644706,72.7806751
Valentine Multiplex,cinema,21.1554582,72.7641581
Senior Citizen Park,park,20.948168,72.924951
Hanuman Temple,place_of_worship,21.2249202,72.8083222
Swaminarayan Temple/School,place_of_worship,21.244039,72.8206875
"Kamnath Mahadev Temple, Gopipura Surat",place_of_worship,21.1943808,72.8246578
botonical garden,viewpoint,21.2256891,72.7884278
jyotindra dave garden,park,21.2021341,72.791362
Dumas Chowpati,viewpoint,21.0807215,72.7156849
Jahangirpura SMC Garden,attraction,21.2344903,72.7881985
Aasharam Ashram,place_of_worship,21.2417201,72.7918788
ISKON Temple,place_of_worship,21.2400927,72.7909643
Rammadhi Temple,place_of_worship,21.2407615,72.7916187
Saibaba Temple,place_of_worship,21.2625185,72.7797446
Kavi Kalapi Garden,park,21.1891222,72.7940315
Balaji Park,park,21.2094002,72.7859795
Masjid ul Moazzam,place_of_worship,21.1945984,72.8320288
Musjid-e-,place_of_worship,21.1997379,72.8210177
dutch garden,park,21.1914606,72.8133411
hasanji kabrestaan,park,21.2026743,72.8288036
Swami Vivekananda Park,park,21.1694735,72.8123815
Shivaji Park,park,21.171923,72.8117304
Sanskar Bharti Park,park,20.9495444,72.9230317
Khelo India Playground,park,21.165303,72.7763082
Varachha Chopati Garden,park,21.2257888,72.8843326
The Palm Garden,park,21.2087737,72.7719875
Botanical Garden,park,21.2240889,72.7834699
Surat Castle,castle,21.1962686,72.8177464
Gopi Talav Park,park,21.1886931,72.8296672
saiyedpura ground,park,21.2035815,72.8301537
Manav Dharma Ashram,place_of_worship,21.2115542,72.829062
Javerchand Meghani park,park,21.2142268,72.8515578
Ekta Van,park,21.1816295,73.0708889
Parshuram Garden,park,21.1989947,72.7860062
Chandravadan Chimanlal Park,park,21.2059279,72.783713
SMC Playground,park,21.1917625,72.7857429
Shantikunj Garden Kalpana Chawla Marg,park,21.194818,72.7888744
Morarji Desai Garden,park,21.189997,72.8007116
cricket ground,park,21.1971988,72.7838031
Jawahar Bagh Park,park,21.6349186,72.9878651
Joggers Park,park,21.6087457,73.0154294
Rustambag Mandir,place_of_worship,21.2226219,72.8551207
Karuna Sagar Mandir,place_of_worship,21.1905408,72.8607854
"Dholakiya Garden,Katargam",park,21.2221025,72.8334052
Children's Park,park,21.2147262,72.8279519
Lake Center Park,park,21.2255974,72.8366061
RadhaKrishna Mandir,park,21.0572985,73.1905044
Shree Sai Ganesh Yuvak Mandal-1976,place_of_worship,21.2057279,72.8288447
Temple,place_of_worship,21.3389656,72.7518068
Radhakrishna Temple,place_of_worship,20.9471724,72.9285204
SMC Garden,park,21.1625524,72.7946217
Mohan Park Society,park,21.1566406,72.7991587
Shahityakarshree manubhai pancholi darshak garden,park,21.1561621,72.7999643
Masjid e Aarifiya (Maslak e Ahle Sunnat Wal Jama'at),place_of_worship,21.2030279,72.806562
Rajhans Cinemas,cinema,21.1386451,72.7746923
Palanpur Lake Garden,park,21.2055631,72.7690843
Bhesan Lake Garden,park,21.2169007,72.7573765
Common Garden - Green Residency,park,21.1997893,72.7909502
